sleep_hours,work_hours,screen_time,exercise_minutes,mood_score,productivity_score,burnout_risk
8.2,7.0,3.9,0,4,75.0,Medium
8.9,9.6,3.0,0,5,80.1,Medium
7.6,8.4,6.5,15,5,78.3,Medium
9.6,8.0,1.4,30,2,85.8,Low
5.9,4.7,7.2,90,5,58.8,Low
5.3,6.7,5.7,15,9,72.3,Low
4.5,9.5,8.8,45,4,45.5,High
9.1,7.6,4.3,30,10,99.8,Low
7.9,9.0,5.5,0,3,64.3,High
6.9,11.4,8.8,0,7,66.5,High
7.4,9.8,9.5,30,8,76.1,Medium
5.4,7.7,4.3,45,10,90.6,Low
10.4,6.4,6.5,90,6,96.5,Low
7.2,1.9,6.7,15,6,52.5,Low
7.2,7.1,6.9,60,5,75.6,Medium
8.0,6.8,5.3,15,6,72.8,Medium
7.7,8.4,9.2,30,9,79.9,Low
7.3,7.2,1.3,30,2,77.3,Low
5.9,6.8,4.9,0,10,80.1,Low
7.7,3.6,7.1,0,3,58.5,Medium
9.6,5.4,7.1,0,1,57.2,Medium
8.9,8.5,9.4,15,4,71.4,High
9.2,11.3,9.0,45,2,60.8,High
6.3,7.3,5.3,0,6,72.1,Medium
5.6,8.2,9.2,30,1,46.7,High
6.8,9.6,4.2,0,8,82.3,Medium
7.1,5.7,8.3,45,10,87.4,Low
8.5,8.3,10.5,45,6,80.3,Medium
4.6,5.9,9.0,45,9,64.2,Low
9.1,9.4,6.3,30,6,82.1,Low
6.8,7.8,5.2,0,10,88.3,Low
6.4,8.2,2.2,45,7,92.4,Low
5.6,5.8,6.8,0,5,64.7,Medium
4.7,9.1,3.2,0,8,81.8,Medium
8.2,12.1,4.0,0,8,81.6,Medium
7.1,5.3,3.0,30,10,92.4,Low
5.2,6.8,4.8,30,9,80.9,Medium
5.2,8.0,5.9,30,6,68.8,Medium
6.5,9.2,6.7,15,1,58.4,High
9.3,6.3,4.5,0,9,82.1,Low
6.6,1.3,8.7,60,3,47.7,Low
4.9,10.5,5.5,30,9,77.3,Medium
6.7,9.2,4.0,15,7,73.8,Medium
6.6,3.7,6.6,30,3,48.4,Low
3.5,6.2,10.9,0,9,44.4,High
6.9,11.0,6.8,0,7,76.3,High
6.7,10.7,5.1,15,7,71.3,High
8.0,9.6,2.2,0,7,91.8,Low
9.6,7.1,5.5,0,2,74.6,Medium
8.6,7.7,6.6,60,4,78.8,Low
6.6,7.2,5.0,30,10,86.8,Low
5.5,10.0,1.8,30,8,87.2,Low
10.6,5.6,3.9,30,2,78.7,Low
7.1,5.7,9.6,90,4,67.0,Medium
7.0,9.7,9.6,0,10,70.4,High
7.0,7.4,3.8,45,8,94.1,Low
7.3,10.5,7.7,30,3,65.9,High
6.8,6.0,3.1,0,6,74.1,Low
6.2,7.4,9.5,0,2,44.3,High
6.2,5.5,6.6,30,8,70.5,Low
7.0,7.5,8.4,30,8,74.5,Medium
6.2,4.2,1.7,0,1,54.1,Low
6.0,6.4,7.7,30,3,52.6,Medium
7.1,4.3,6.0,30,2,56.5,Medium
6.6,9.0,8.1,15,7,73.3,Medium
9.1,9.1,8.3,60,7,83.9,Low
3.5,3.7,6.2,60,4,40.1,Medium
8.5,10.4,4.5,30,8,91.3,Low
8.7,13.0,7.9,90,3,61.7,High
4.1,7.6,5.8,0,9,73.0,Medium
6.5,6.1,3.8,0,5,69.6,Medium
6.5,13.7,3.7,15,2,54.7,High
5.0,4.6,2.3,30,9,81.4,Low
5.9,7.5,4.7,30,1,61.0,Medium
5.4,7.9,8.8,30,8,72.5,High
9.5,10.5,6.4,0,6,82.0,Medium
8.3,8.3,4.7,0,1,64.9,High
8.8,6.4,8.0,60,4,71.0,Low
8.0,5.4,3.9,60,3,77.9,Low
5.4,6.7,6.2,30,7,73.2,Medium
6.3,5.3,5.6,30,7,69.6,Low
7.7,7.6,7.9,30,6,67.0,Medium
5.3,6.3,2.1,0,10,86.9,Low
8.0,4.2,3.9,15,10,89.0,Low
6.7,10.3,1.9,30,8,84.2,Medium
6.5,6.4,5.4,30,7,72.7,Low
8.0,4.7,9.0,0,4,53.3,Medium
7.6,7.1,4.7,90,7,93.2,Low
6.5,7.7,4.7,45,1,74.2,Medium
8.6,3.7,8.2,0,3,57.6,Low
5.5,8.2,8.7,30,2,46.2,High
7.9,5.2,5.8,60,7,78.9,Low
7.8,11.3,7.7,0,9,76.3,High
6.6,8.7,3.3,30,5,80.8,Medium
7.5,6.6,9.4,30,9,73.9,Low
5.2,5.9,11.4,15,8,58.2,High
8.3,7.3,7.3,45,1,61.7,Medium
6.7,8.8,1.0,15,2,75.7,Medium
6.3,7.4,4.6,0,6,73.9,Medium
8.5,7.0,7.5,0,5,78.9,Medium
6.0,7.6,4.9,0,7,79.4,Medium
5.0,6.2,9.2,15,9,69.9,Medium
4.8,6.7,7.5,45,4,52.9,High
7.8,2.9,4.2,0,8,71.4,Low
5.2,9.6,6.1,30,4,62.5,High
9.5,8.2,3.8,30,3,78.8,Low
4.1,5.8,5.5,0,2,49.1,High
9.4,11.7,4.6,30,8,90.8,Medium
7.3,7.7,8.9,30,8,82.0,Medium
6.9,5.2,11.3,30,3,48.5,High
6.2,9.4,2.4,15,1,63.6,High
7.6,8.4,1.2,30,6,91.3,Low
6.9,8.4,5.4,90,5,79.2,Medium
8.5,6.6,2.2,15,8,90.8,Low
7.2,8.5,6.1,15,6,79.6,Medium
7.2,6.9,7.9,30,4,67.2,Medium
6.5,8.7,9.7,0,10,79.8,Medium
6.9,3.3,6.5,30,10,73.1,Low
7.4,6.5,5.5,15,2,66.5,Medium
4.6,11.3,1.1,0,8,76.4,Medium
5.1,5.8,6.1,30,5,62.9,Medium
8.0,6.2,6.2,0,8,84.4,Low
7.2,6.5,7.6,15,5,73.8,Medium
6.7,4.8,4.2,0,6,72.7,Low
7.0,2.6,4.9,0,10,74.9,Low
7.5,7.0,2.3,45,5,87.2,Low
6.2,7.8,1.0,60,3,85.8,Medium
5.9,7.4,3.2,0,10,91.1,Low
7.3,7.2,2.1,30,8,91.6,Low
5.6,7.6,6.8,0,3,58.8,High
7.6,9.8,4.7,30,4,79.1,Medium
4.6,7.1,4.7,15,6,74.6,Medium
8.4,6.2,3.5,0,2,68.6,Medium
7.7,6.9,1.0,45,7,90.7,Low
7.4,8.8,9.8,0,5,54.9,High
8.4,10.6,3.5,0,10,97.3,Low
9.3,6.1,5.0,45,5,76.6,Low
8.4,7.7,2.4,30,5,90.0,Low
4.4,8.2,8.4,30,2,52.9,High
5.2,5.3,6.4,30,10,74.0,Low
6.1,7.5,3.9,30,9,82.0,Medium
7.0,4.3,5.0,15,3,53.2,Low
7.7,3.6,10.2,15,7,55.1,Low
6.0,8.3,5.8,30,5,70.4,Medium
7.3,6.7,5.5,30,10,94.4,Low
5.9,7.9,3.6,30,10,92.3,Low
6.1,7.5,1.3,45,5,92.0,Low
5.0,5.4,5.6,15,4,59.4,Medium
5.7,7.4,6.8,15,10,81.4,Low
5.1,4.8,8.7,15,6,52.2,Medium
5.6,10.6,1.0,30,7,81.1,Medium
8.5,4.5,3.2,30,7,84.5,Low
5.7,7.1,4.5,60,8,86.1,Low
10.7,5.2,6.0,30,5,82.7,Low
7.7,8.8,5.6,60,7,85.1,Low
7.3,6.8,5.7,45,4,67.8,Low
5.8,6.4,7.0,90,9,90.2,Low
8.0,9.4,3.7,30,5,84.5,Medium
6.2,7.6,8.3,90,3,66.9,Medium
7.2,8.6,7.1,0,5,70.4,Medium
10.6,5.3,5.2,0,9,97.0,Low
6.9,4.4,10.0,30,8,61.5,Low
8.6,7.7,9.9,90,1,64.4,Medium
6.0,6.8,8.3,15,5,56.9,High
7.0,8.9,1.0,0,6,85.4,Medium
9.5,7.3,9.9,30,10,86.4,Low
6.1,8.0,8.0,30,2,52.8,High
9.5,3.9,11.0,15,6,55.2,Medium
8.0,11.7,9.1,45,9,85.0,Medium
6.2,7.1,9.9,90,4,61.8,Medium
7.9,9.0,8.2,60,3,70.1,Medium
8.4,5.7,9.4,0,9,74.9,Low
7.9,8.2,11.0,15,2,56.3,High
4.8,4.6,6.5,15,9,57.8,Medium
6.0,8.5,2.1,15,10,92.1,Low
6.7,6.7,5.2,0,2,63.4,Medium
6.9,7.6,7.0,45,10,96.4,Low
7.9,9.0,6.2,15,3,66.5,Medium
7.2,4.8,2.9,60,7,82.9,Low
5.1,6.0,1.9,60,2,69.8,Medium
7.5,8.5,4.1,0,1,66.2,High
7.9,12.1,8.0,90,9,85.3,Medium
7.8,7.2,10.0,45,6,70.5,Medium
8.5,8.8,8.3,30,9,84.2,Low
8.2,7.3,8.6,15,3,60.6,High
7.6,11.8,5.8,30,3,64.4,High
6.9,3.7,1.6,15,10,88.2,Low
4.7,7.7,4.9,30,3,62.7,High
7.6,3.9,5.4,0,2,50.8,Medium
7.3,2.0,4.8,30,6,69.7,Low
7.4,8.2,6.1,0,3,59.6,High
5.2,7.8,7.1,0,5,63.1,High
5.5,6.9,8.1,30,5,58.3,Medium
8.5,7.3,5.3,30,10,93.2,Low
6.9,14.0,1.2,15,3,65.2,High
8.0,6.9,4.8,0,3,62.4,Medium
7.0,8.6,6.1,60,1,65.7,High
7.0,6.1,9.1,30,6,71.2,Medium
8.3,8.1,4.6,0,3,71.0,Medium
6.3,7.0,7.3,30,1,62.6,High
7.1,6.6,6.7,30,10,82.0,Low
6.4,11.5,6.1,0,9,73.0,Medium
6.4,10.1,8.3,30,1,55.3,High
6.6,7.8,4.3,45,5,74.0,Medium
7.3,2.4,4.6,45,5,63.7,Low
6.3,6.7,6.0,0,2,62.1,High
8.8,13.4,4.4,60,1,61.4,High
5.7,7.0,7.3,15,6,67.4,High
6.7,9.9,4.2,60,7,86.4,Medium
6.4,10.7,6.6,0,9,67.3,Medium
9.0,8.0,5.7,30,8,90.9,Low
7.3,5.6,6.5,30,10,93.3,Low
8.4,2.1,4.9,0,3,56.6,Low
4.9,9.0,5.2,45,9,82.7,Medium
7.4,5.7,6.2,30,1,57.4,Medium
8.2,7.9,6.5,0,6,86.1,Medium
7.1,4.8,6.0,30,10,77.9,Low
8.5,6.9,10.3,30,2,54.6,Medium
6.3,7.6,3.5,0,10,89.3,Low
9.0,8.1,5.8,90,9,100.0,Low
10.2,5.0,2.1,60,9,100.0,Low
6.5,10.1,6.9,0,8,73.4,High
6.4,6.2,3.2,30,7,78.4,Low
9.0,3.8,5.3,15,6,76.0,Low
9.2,7.3,5.1,45,2,68.5,Low
6.3,7.6,6.7,60,4,67.4,Medium
6.4,7.9,4.6,15,10,86.8,Low
6.6,10.5,4.5,45,7,75.9,Medium
5.1,7.0,9.6,30,6,51.5,High
5.7,7.2,6.7,15,9,77.6,Medium
5.6,5.1,4.6,60,5,69.4,Low
5.9,9.3,5.4,30,6,74.4,Medium
7.0,7.9,10.1,30,10,84.2,Medium
7.3,6.6,5.4,30,6,81.2,Low
9.2,3.3,4.3,0,8,71.9,Low
5.6,10.7,4.3,15,8,78.6,Medium
8.4,4.8,4.6,60,6,81.9,Low
6.7,6.2,4.5,30,8,82.4,Low
6.9,8.3,2.8,45,7,89.7,Low
7.9,4.9,3.2,0,1,57.8,Medium
5.4,4.2,3.9,30,5,64.6,Low
7.5,2.8,7.5,90,10,76.7,Low
7.2,9.1,5.0,15,10,94.8,Low
7.7,6.3,5.5,0,10,84.5,Low
7.4,13.9,9.2,30,5,48.6,High
10.4,5.3,9.2,15,10,87.2,Low
6.1,5.5,5.3,0,9,70.2,Medium
6.3,6.3,4.4,60,7,76.2,Low
6.1,8.0,3.8,90,7,93.0,Low
6.2,6.5,7.7,30,10,82.8,Low
6.1,8.8,5.5,45,2,62.8,High
8.7,5.3,5.0,60,8,81.2,Low
9.0,4.5,4.0,45,3,75.0,Low
6.2,3.5,4.1,0,9,71.1,Low
5.8,2.6,6.8,0,6,57.2,Low
7.7,6.4,2.7,0,9,98.4,Low
6.2,6.8,8.5,0,9,65.2,Low
7.9,6.1,4.7,15,7,90.7,Low
7.3,10.2,5.6,15,10,80.8,Medium
4.9,10.2,2.7,0,8,74.4,High
9.2,6.8,6.0,0,2,71.2,High
9.5,3.6,5.2,30,5,70.9,Low
6.1,6.3,5.9,0,3,53.4,Medium
6.5,6.2,9.7,45,1,40.5,High
7.4,6.1,6.4,0,6,64.3,Medium
7.5,6.0,4.0,45,9,87.3,Low
7.9,6.1,4.2,90,2,77.9,Low
9.8,6.6,7.5,45,9,99.5,Low
6.8,6.1,9.2,45,8,68.8,Low
5.9,8.0,6.7,60,9,83.5,Low
5.1,8.3,7.7,0,5,55.1,High
6.0,5.5,7.5,90,2,51.0,Medium
7.0,10.3,9.5,45,10,73.3,Medium
9.5,5.3,1.1,45,10,100.0,Low
6.3,3.9,7.7,15,6,56.9,Low
7.3,8.3,8.5,30,7,73.2,Medium
7.0,5.7,2.7,30,3,68.4,Low
8.7,8.2,3.8,30,6,91.7,Low
10.5,2.2,3.9,45,6,81.4,Low
6.3,10.6,4.2,0,8,72.9,Medium
6.3,9.0,4.8,15,1,62.5,High
8.5,4.2,6.6,15,4,55.1,Low
8.0,4.2,8.2,0,1,42.7,Medium
9.6,11.2,8.7,0,8,85.2,Medium
7.8,5.9,3.9,0,2,65.4,Medium
6.5,5.7,3.9,15,8,72.0,Low
7.8,2.5,9.3,30,3,40.7,Low
8.6,6.7,7.6,0,8,78.2,Low
8.1,7.0,6.2,60,6,80.7,Low
7.7,9.1,7.2,45,1,64.4,High
8.5,4.4,5.9,45,7,83.1,Low
8.6,4.2,7.3,0,7,67.6,Low
8.9,8.5,5.2,30,6,86.4,Medium
7.9,9.7,6.7,30,1,56.5,High
6.8,4.0,2.2,90,5,78.1,Low
7.2,9.9,4.3,45,1,61.1,High
8.7,7.6,4.3,30,1,72.1,Medium
5.9,9.9,5.1,60,6,73.2,Medium
7.5,7.3,3.7,0,8,89.3,Low
6.4,2.0,4.7,0,1,45.7,Medium
7.0,7.2,2.2,30,2,77.7,Low
8.8,9.8,7.4,0,5,71.7,High
7.3,5.5,5.8,0,8,77.7,Low
7.1,6.6,1.7,45,4,78.5,Low
5.1,7.1,3.9,0,5,63.1,Medium
8.0,1.1,6.8,30,10,66.8,Low
7.9,11.2,4.6,60,5,80.6,Medium
10.0,5.5,4.3,15,3,67.4,Low
6.6,8.6,5.8,0,6,75.9,Medium
7.3,7.3,6.9,0,5,66.9,Medium
7.3,10.3,2.4,0,2,66.3,High
9.2,8.4,7.4,0,10,94.7,Low
6.9,7.0,4.0,0,4,62.6,Medium
7.4,5.5,6.0,15,4,63.3,Low
7.9,9.3,5.9,15,7,87.2,Medium
7.3,3.4,4.7,45,7,72.7,Low
6.4,8.9,3.4,60,9,88.3,Low
7.3,5.1,5.3,45,10,85.6,Low
8.5,10.3,10.1,30,2,61.8,High
5.6,7.9,2.6,0,6,74.2,Medium
7.2,8.9,10.2,45,2,49.5,High
6.0,7.7,5.4,15,9,80.8,Low
8.7,3.6,6.1,0,2,49.6,Low
4.9,5.6,3.3,45,6,62.1,Low
6.2,9.0,4.1,15,8,85.4,Medium
7.5,7.9,4.7,0,6,83.8,Medium
9.2,10.1,3.4,60,3,84.9,Low
6.9,8.4,5.5,60,5,82.1,Medium
6.2,5.4,5.0,15,4,59.9,Medium
9.6,5.7,10.6,15,1,57.9,Medium
5.0,7.7,3.1,30,5,70.8,Medium
3.9,2.4,6.3,45,10,62.8,Low
7.6,11.2,6.6,0,5,62.6,High
6.3,8.5,3.3,30,7,78.7,Low
5.6,10.2,7.7,90,7,71.6,Medium
8.0,4.0,5.0,0,2,65.3,Low
7.3,10.2,1.0,60,4,90.7,Medium
6.2,12.4,7.6,90,1,56.3,High
5.2,4.6,3.2,0,5,59.4,Medium
8.2,9.2,3.4,45,5,83.8,Low
7.9,7.5,7.7,0,4,73.0,Medium
6.9,4.1,5.1,45,10,83.0,Low
9.6,8.6,8.3,45,7,89.8,Low
5.5,9.3,9.0,0,6,56.4,High
4.9,6.2,4.4,45,10,81.8,Low
6.0,10.1,8.0,45,3,60.3,High
6.9,3.8,4.1,15,2,52.5,Low
7.3,4.2,11.6,0,4,45.5,High
6.7,7.8,4.3,0,9,83.9,Low
7.5,7.6,8.6,30,10,87.3,Low
5.2,5.9,8.1,90,5,60.3,Medium
9.0,9.3,6.8,45,1,74.4,High
6.9,8.7,4.3,15,3,69.0,Medium
8.6,9.4,5.6,30,9,95.5,Low
7.5,7.2,1.0,0,7,89.9,Low
7.6,8.8,6.6,0,3,62.4,High
7.8,6.5,6.9,30,1,60.9,Medium
7.6,12.0,6.3,30,4,70.1,High
7.9,5.7,1.0,30,9,91.2,Low
8.9,12.1,2.8,90,7,96.3,Low
7.3,7.6,4.1,30,5,79.3,Low
8.0,4.5,6.7,30,6,70.8,Low
6.9,10.5,6.7,0,1,57.0,High
9.0,7.8,5.6,90,7,100.0,Low
6.1,9.4,7.6,45,5,71.0,High
9.5,10.2,3.4,60,7,98.1,Low
6.9,8.2,7.5,15,5,67.0,High
5.0,6.2,7.2,30,5,48.9,Medium
7.2,9.6,6.9,30,3,69.6,High
6.0,7.5,5.5,0,5,57.2,Medium
8.2,9.0,10.6,30,8,82.3,Medium
6.1,2.8,7.2,60,8,68.9,Low
6.4,8.5,3.6,0,2,72.4,High
4.4,6.1,6.6,0,1,42.2,High
6.4,11.1,7.9,45,2,55.8,High
3.6,8.9,4.5,0,7,65.5,High
4.8,8.0,8.7,30,3,53.4,High
8.1,8.6,7.0,30,8,82.4,Medium
8.1,5.3,1.0,15,4,78.4,Low
7.6,11.1,6.7,45,10,83.8,Medium
5.6,11.9,5.0,30,10,80.3,Medium
6.9,8.4,7.3,60,8,83.5,Low
7.0,11.0,8.4,45,2,55.1,High
5.4,6.2,6.5,60,5,65.1,Medium
9.1,5.7,10.2,0,6,63.2,Medium
8.2,7.6,5.6,0,1,65.5,High
6.7,8.5,7.6,0,1,53.8,High
7.0,6.6,8.0,15,9,78.0,Low
7.3,8.7,5.8,60,5,75.0,Medium
4.1,8.2,7.9,30,4,57.7,High
6.7,5.3,4.5,45,1,55.3,Low
6.0,8.6,4.9,15,3,62.3,High
5.6,9.4,2.7,15,4,70.3,High
6.6,7.9,6.6,60,5,79.7,Medium
9.5,10.0,6.8,15,10,88.4,Low
7.9,4.8,8.9,45,5,59.5,Low
6.2,8.5,8.0,0,10,70.4,Medium
7.8,4.9,5.3,60,8,85.8,Low
9.0,5.0,3.1,30,3,73.5,Low
8.3,6.1,7.1,45,7,81.6,Low
7.1,5.4,8.8,0,6,61.7,Medium
6.1,6.3,7.9,30,10,80.7,Low
8.0,7.0,8.7,60,10,88.8,Low
7.6,9.3,5.5,60,10,92.7,Low
8.3,6.8,4.8,0,6,80.2,Low
7.9,4.0,4.2,15,10,87.0,Low
8.5,10.0,5.9,15,9,86.9,Low
6.3,5.7,5.8,0,7,69.1,Low
8.8,7.4,6.5,45,7,81.9,Low
7.3,8.5,5.7,0,1,54.6,High
9.9,7.9,5.7,15,1,65.9,Medium
6.0,9.9,4.1,30,9,85.9,Medium
9.4,8.6,8.4,30,9,93.2,Low
7.3,5.6,6.2,45,10,80.5,Low
6.1,12.3,5.6,90,3,65.0,High
6.3,7.9,4.1,0,8,84.5,Medium
6.6,7.2,2.7,45,9,92.2,Low
7.6,9.6,9.3,0,1,56.1,High
7.7,8.0,7.4,15,3,60.3,High
6.2,8.4,1.9,0,6,79.4,Medium
7.0,13.0,7.9,0,4,41.9,High
10.0,6.9,8.3,15,8,87.2,Low
9.4,6.8,6.3,15,9,88.4,Low
7.6,7.8,10.0,60,7,68.8,Medium
7.1,9.9,6.5,45,1,61.7,High
7.2,4.2,2.5,90,2,69.9,Low
7.9,3.2,6.9,30,1,47.9,Low
5.6,6.2,6.6,0,9,76.3,Low
6.6,3.9,4.5,15,4,56.8,Low
4.7,6.6,7.4,15,10,74.9,Medium
7.6,8.6,1.8,15,8,97.7,Low
7.9,5.5,8.5,30,5,62.6,Medium
6.3,4.4,3.8,30,5,66.9,Low
9.2,7.7,3.5,15,5,94.1,Low
5.3,9.4,5.7,0,5,58.6,High
4.9,3.8,7.1,0,3,43.6,Medium
7.3,9.3,6.4,0,6,72.5,Medium
8.5,9.3,4.1,0,1,71.9,High
9.4,9.6,4.7,45,8,95.9,Low
6.4,10.2,3.2,0,4,71.2,Medium
8.5,12.3,5.4,45,6,72.4,Medium
6.9,6.7,8.7,15,2,44.0,High
6.8,7.7,6.0,0,2,56.0,High
8.2,6.6,8.1,45,8,79.9,Low
7.9,7.5,9.6,30,1,53.9,High
4.8,10.9,4.5,0,8,74.6,High
9.1,4.5,5.5,60,10,92.1,Low
8.9,5.6,11.4,0,10,74.5,Low
6.1,10.5,9.6,0,1,41.7,High
7.6,9.7,1.8,45,9,96.5,Low
7.7,6.7,7.0,45,1,60.3,Medium
7.4,9.4,6.0,0,4,71.3,Medium
6.2,8.3,8.1,0,9,76.4,Medium
6.1,10.8,4.1,60,1,63.6,High
7.0,7.7,3.9,15,9,91.7,Low
8.6,9.8,4.3,0,8,94.7,Medium
7.8,13.3,4.6,30,5,66.9,High
6.5,8.8,8.0,60,6,83.1,Medium
8.1,7.6,3.0,0,5,86.2,Low
3.5,9.1,4.4,45,4,66.1,High
8.6,6.7,1.5,30,10,100.0,Low
4.6,12.8,8.5,15,4,48.7,High
6.5,7.9,9.2,45,10,77.3,Low
5.4,6.9,5.2,90,8,79.4,Low
5.2,5.7,5.3,0,8,71.5,Low
8.6,9.9,7.1,0,9,86.5,Medium
6.3,9.4,9.7,60,3,60.8,High
7.5,6.4,7.0,30,10,85.9,Low
6.9,8.8,4.3,15,8,79.8,Medium
7.7,4.2,2.0,30,3,69.6,Low
7.1,7.9,3.2,45,2,77.2,Medium
5.2,8.5,6.2,45,2,57.4,High
8.4,11.3,4.4,60,9,94.3,Low
6.3,5.8,6.5,15,4,59.5,Medium
4.8,4.7,4.6,0,5,54.2,Medium
6.4,5.5,3.4,30,2,58.7,Medium
9.1,4.6,3.1,15,9,99.9,Low
8.2,10.4,9.9,30,7,77.9,High
6.5,10.9,8.2,15,3,57.8,High
6.5,8.2,10.3,0,6,63.2,High
6.5,10.2,7.3,30,7,67.7,High
9.9,7.8,4.9,30,6,95.5,Low
7.5,7.3,9.3,45,10,88.9,Low
7.6,6.8,5.9,30,10,88.7,Low
8.4,6.8,6.6,0,6,70.9,Medium
7.3,4.1,5.9,15,8,74.3,Low
6.6,8.1,1.0,45,8,100.0,Low
6.7,7.4,10.0,15,5,57.7,High
6.9,9.1,7.2,30,4,68.3,High
6.9,7.7,6.8,30,5,68.1,Medium
8.0,7.1,5.8,0,9,81.6,Low
7.1,5.6,6.4,45,10,85.8,Low
8.0,7.7,4.5,0,6,78.3,Medium
6.9,9.1,7.5,30,3,64.0,High
7.1,5.0,2.7,0,3,58.3,Low
4.2,7.7,6.5,0,1,41.9,High
8.3,8.0,7.4,30,5,80.8,Medium
7.5,5.9,5.5,30,6,77.9,Low
8.4,6.2,6.9,45,8,86.0,Low
3.5,8.0,3.5,45,9,80.0,Medium
9.9,5.0,3.6,45,7,91.8,Low
6.8,8.3,6.6,15,1,56.7,High
8.6,5.5,7.7,30,7,85.4,Low
5.5,9.8,1.3,30,10,94.4,Low
7.9,12.6,7.3,15,9,74.1,Medium
5.5,5.6,4.6,30,4,61.8,Medium
6.1,8.7,5.5,60,7,74.4,Low
9.7,5.9,2.7,0,9,89.4,Low
6.7,9.8,3.9,60,1,72.0,Medium
7.3,4.7,8.4,0,10,73.9,Low
8.2,8.6,6.1,15,9,87.6,Low
7.7,5.6,5.0,0,4,66.3,Low
7.2,7.0,5.7,30,8,82.7,Low
7.5,5.2,7.2,0,3,56.0,Medium
10.4,9.3,7.1,60,2,81.7,Medium
6.9,5.7,5.8,45,8,81.7,Low
7.3,8.7,8.7,30,8,76.0,Medium
8.5,6.7,8.4,30,3,57.7,Medium
8.5,7.2,7.0,60,8,85.2,Low
8.7,7.8,6.1,45,6,88.9,Low
7.9,5.8,7.6,30,10,90.2,Low
5.4,8.0,6.8,45,9,77.6,Low
9.3,10.9,8.7,30,10,83.5,Medium
5.4,5.8,8.2,30,6,58.0,Medium
7.4,10.1,3.5,15,8,93.6,Medium
5.9,10.8,3.3,30,2,62.7,High
6.9,5.7,4.2,0,1,52.9,Medium
7.5,4.3,8.4,15,10,72.7,Low
7.4,8.2,2.1,30,10,99.8,Low
7.6,6.3,7.0,90,2,70.0,Medium
9.3,11.6,6.9,90,4,86.4,Medium
7.6,7.6,8.9,30,10,85.5,Low
6.7,5.7,6.5,30,9,82.8,Low
8.3,5.0,2.6,0,7,77.2,Low
8.7,9.9,3.6,30,9,100.0,Low
5.3,6.2,3.0,0,9,74.2,Low
7.8,7.6,4.7,0,9,94.4,Low
8.0,9.6,5.5,30,8,88.0,Low
6.6,6.4,3.1,15,6,72.3,Low
8.9,7.4,9.7,0,10,87.4,Low
6.8,7.5,2.7,45,7,89.0,Low
7.2,9.0,9.4,15,2,50.3,High
6.8,8.8,9.0,0,1,48.8,High
7.0,7.0,8.2,0,5,56.4,High
5.5,7.6,4.3,0,8,76.2,Medium
5.0,6.7,6.9,0,3,47.1,High
9.2,4.2,2.8,45,7,87.8,Low
5.8,8.1,8.3,15,5,55.6,High
5.6,11.7,5.8,45,10,73.1,Medium
4.0,5.6,5.0,0,8,61.0,Medium
6.1,5.8,2.9,30,6,75.6,Low
5.1,5.6,1.0,30,6,72.0,Low
9.3,9.1,3.4,30,7,96.7,Low
8.4,8.5,8.8,30,7,81.8,Medium
6.0,7.2,5.0,60,4,68.0,Medium
10.2,5.5,5.6,0,10,99.4,Low
8.4,7.7,7.6,30,10,90.5,Low
6.5,4.1,10.5,60,10,76.9,Low
3.5,7.8,9.3,0,8,57.2,High
10.2,9.4,3.6,0,6,86.2,Low
5.1,4.7,1.1,0,8,80.8,Low
4.7,4.1,11.9,30,7,41.6,Medium
8.4,11.0,11.7,0,1,48.6,High
10.4,6.2,6.5,0,4,75.7,Low
8.9,10.0,2.8,30,7,90.8,Low
7.8,7.2,8.4,30,9,79.5,Low
7.8,7.1,5.7,0,2,62.8,Medium
8.2,8.5,5.7,15,5,80.5,Medium
8.1,5.6,8.2,30,9,79.3,Low
7.4,7.8,6.8,60,9,96.2,Low
7.1,6.7,3.0,30,6,77.5,Low
6.9,4.6,5.2,45,7,74.2,Low
5.9,8.2,7.7,15,9,81.4,Medium
6.6,6.9,7.3,0,10,74.5,Medium
4.6,7.2,6.7,30,8,75.0,Medium
6.9,4.8,8.3,45,10,77.1,Low
5.6,11.0,5.1,30,6,69.3,Medium
5.5,9.4,6.4,45,6,68.8,Medium
7.3,9.6,1.0,90,7,94.1,Low
8.9,6.8,4.9,0,7,84.3,Low
8.3,3.7,7.9,0,2,47.2,Low
4.8,11.8,5.0,0,9,76.5,High
5.6,7.4,4.8,15,4,67.7,Medium
8.3,5.9,3.4,0,10,93.0,Low
5.6,8.4,8.5,60,9,83.9,Medium
6.7,10.1,7.4,0,10,78.4,Medium
7.8,7.4,8.1,15,3,65.8,High
5.6,10.3,1.7,0,5,76.7,High
7.1,9.9,5.6,60,5,75.0,Medium
5.1,5.1,5.3,30,7,68.6,Low
6.2,6.0,5.3,60,4,66.1,Medium
7.4,9.6,4.5,90,4,85.5,Medium
4.8,1.5,5.1,30,1,36.0,Medium
7.6,7.2,8.1,0,6,74.9,Medium
7.0,4.4,1.2,0,4,70.3,Low
7.8,6.5,10.4,0,10,85.4,Medium
7.3,6.8,7.2,45,10,84.5,Low
8.9,6.7,5.9,0,5,78.9,Low
7.2,6.3,8.3,0,9,74.1,Low
6.4,5.1,2.4,30,4,68.8,Low
7.2,12.5,4.3,30,1,50.7,High
7.8,11.6,5.7,30,9,84.8,Medium
7.1,4.9,9.4,15,5,52.0,Medium
